stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
923138,,St-Clément | de la Rivière,,45.6037327,-75.8900744,,,0,,,
923141,,De la Rivière | de la Carrière,,45.6004295,-75.8833793,,,0,,,
923142,,De la Rivière | de la Carrière,,45.6001685,-75.8833895,,,0,,,
923147,,De la Rivière | Carnochan (Arrêt de courtoisie),,45.5955992,-75.8799123,,,0,,,
923148,,De la Rivière | Carnochan (Arrêt de courtoisie),,45.5954739,-75.8798459,,,0,,,
923157,,De la Rivière | Jenness,,45.5829205111258,-75.873926568161,,,0,,,
923158,,De la Rivière | Jenness,,45.5832129554804,-75.8736387901802,,,0,,,
923159,,De la Rivière | Mountainview,,45.5816995188251,-75.8754723201633,,,0,,,
923160,,De la Rivière | Mountainview,,45.58163172743,-75.8753348891357,,,0,,,
923161,,De la Rivière | Pine,,45.5789839573841,-75.8714899960979,,,0,,,
923162,,De la Rivière | Pine,,45.579009,-75.871681,,,0,,,
923167,,Près du 178 chemin de la Rivière,,45.591443,-75.8728183,,,0,,,
923168,,Près du 177 chemin de la Rivière,,45.5914079,-75.8729432,,,0,,,
923169,,Près du 150 chemin de la Rivière (Arrêt de courtoisie),,45.5887902,-75.8697018,,,0,,,
923170,,Près du 149 chemin de la Rivière (Arrêt de courtoisie),,45.5887106,-75.8698139,,,0,,,
923171,,Près du 126 chemin de la Rivière,,45.5857811,-75.8702004,,,0,,,
923172,,Près du 126 chemin de la Rivière,,45.5858351152183,-75.8703298990607,,,0,,,
923179,,Route 105 | Thomas,,45.5713289,-75.8652588,,,0,,,
923183,,Route 105 | Burnett,,45.5684095,-75.8539143,,,0,,,
923193,,Route 105 | Old Sawmill,,45.5595113,-75.8373271,,,0,,,
923194,,Route 105 | Radapaw,,45.5596041,-75.8382805,,,0,,,
923210,,Route 105 | Sherrin,,45.5513188,-75.8232074,,,0,,,
923216,,Route 105 | Wilson,,45.5476908,-75.8209535,,,0,,,
923217,,Route 105 | Reid,,45.5472527,-75.8210751,,,0,,,
923238,,Route 105 | Montrose,,45.531262,-75.8053111,,,0,,,
923239,,Route 105 | Montrose,,45.5312117,-75.805413,,,0,,,
923244,,Route 105 | Juniper,,45.5272894,-75.8046328,,,0,,,
923247,,Scott | des Cerisiers,,45.523473,-75.8057652,,,0,,,
923249,,Scott | Lilsam,,45.5188934,-75.808532,,,0,,,
923253,,Scott | Preston,,45.5111356,-75.8109632,,,0,,,
923257,,Old Chelsea | Boischatel (Arrêt de courtoisie),,45.5038788,-75.7928859,,,0,,,
923258,,Old Chelsea | Boischatel (Arrêt de courtoisie),,45.5040081,-75.7927248,,,0,,,
923259,,Old Chelsea | Ladyfield (Arrêt de courtoisie),,45.5032078,-75.8039693,,,0,,,
923260,,Old Chelsea | Ladyfield (Arrêt de courtoisie),,45.5030453,-75.8043443,,,0,,,
923263,,Old Chelsea | de l'Hôtel de Ville (Arrêt de courtoisie),,45.5038317,-75.795139,,,0,,,
923264,,Old Chelsea | Jean-Paul-Lemieux (Arrêt de courtoisie),,45.5037272,-75.7951798,,,0,,,
923265,,Old Chelsea | du Relais (Arrêt de courtoisie),,45.5041717,-75.7904616,,,0,,,
923266,,Old Chelsea | du Relais (Arrêt de courtoisie),,45.5040769,-75.7903325,,,0,,,
923267,,Old Chelsea | Boisjoli (Arrêt de courtoisie),,45.5043982,-75.7878063,,,0,,,
923268,,Old Chelsea | Boisjoli (Arrêt de courtoisie),,45.5042061,-75.7880916,,,0,,,
923272,,Route 105 | Old Chelsea,,45.504878434721,-75.7837511862169,,,0,,,
923273,,Old Chelsea | Douglas (Arrêt de courtoisie),,45.5044652,-75.7861359,,,0,,,
923274,,Old Chelsea | Lonergan (Arrêt de courtoisie),,45.5043518,-75.7863929,,,0,,,
923275,,Route 105 | Hudson,,45.5033024,-75.7827095,,,0,,,
923276,,Route 105 | Hudson,,45.5031345,-75.7827369,,,0,,,
923279,,Route 105 | Station,,45.5255497,-75.8013174,,,0,,,
923280,,Route 105 | Station,,45.5253864,-75.8003871,,,0,,,
923285,,Route 105 | Meredith,,45.5243589,-75.7927324,,,0,,,
923286,,Route 105 | Meredith,,45.524308,-75.792844,,,0,,,
923299,,Route 105 | Peter's Point,,45.5158176,-75.7926477,,,0,,,
923300,,Route 105 | Peter's Point,,45.5159051,-75.7929094,,,0,,,
923305,,Route 105 | Church,,45.5101871940042,-75.7903817802736,,,0,,,
923306,,Route 105 | Church,,45.5100100622656,-75.7903996223262,,,0,,,
923311,,Près du 490 route 105,,45.5053643,-75.7838866,,,0,,,
923318,,Route 105 | Fleury (Arrêt de courtoisie),,45.4972716,-75.7792329,,,0,,,
923320,,Route 105 | Deschênes (Arrêt de courtoisie),,45.4966683,-75.7782479,,,0,,,
923321,,Route 105 | Brock (Arrêt de courtoisie),,45.4952134,-75.7749623,,,0,,,
923322,,Route 105 | Centennial (Arrêt de courtoisie),,45.4949027,-75.7746002,,,0,,,
923331,,Route 105 | des Artisans (Arrêt de courtoisie),,45.493112,-75.7706565,,,0,,,
923332,,Route 105 | des Artisans (Arrêt de courtoisie),,45.4930157,-75.7706834,,,0,,,
923335,,Route 105 | Patrick (Arrêt de courtoisie),,45.490735,-75.764524,,,0,,,
923336,,Route 105 | Patrick (Arrêt de courtoisie),,45.4905874,-75.7642839,,,0,,,
923352,,Route 105 | Ojai,,45.5395493,-75.8142086,,,0,,,
923354,,Route 105 | Thomas,,45.5712318,-75.8651445,,,0,,,
923400,,St-Joseph | Parc-O-Bus Freeman,,45.473502,-75.74048,,,0,,,
923401,,St-Joseph | Juneau,,45.475419,-75.742482,,,0,,,
923402,,St-Joseph | Jean-Proulx,,45.469532,-75.738323,,,0,,,
923403,,St-Joseph | Jean-Proulx,,45.469206,-75.737913,,,0,,,
923404,,STO,,45.465563,-75.733824,,,0,,,
923405,,STO,,45.46603,-75.734068,,,0,,,
923406,,Jean-Proulx | Deveault,,45.462211,-75.73428,,,0,,,
923407,,Jean-Proulx | Deveault,,45.462327,-75.734073,,,0,,,
923408,,De la Carrière | Adrien-Robert,,45.458676,-75.733793,,,0,,,
923409,,De la Carrière | Adrien-Robert,,45.45888,-75.733555,,,0,,,
923410,,De la Carrière | du Casino,,45.450535,-75.729283,,,0,,,
923411,,De la Carrière | Atawe,,45.452238,-75.729506,,,0,,,
925006,,Route 105 | de la Rivière,,45.5737112670101,-75.870314352714,,,0,,,
925034,,Principale Est | de la Beurrerie,,45.6444927,-76.0147885,,,0,,,
925038,,Principale Est | Kennedy,,45.6462169,-76.0062205,,,0,,,
925041,,Principale Est | Charlevoix,,45.6485447,-75.9962858,,,0,,,
925042,,Principale Est | Charlevoix,,45.6484429,-75.9963305,,,0,,,
925047,,Principale Est | Murray,,45.6450508,-75.9830842,,,0,,,
925048,,Principale Est | Murray,,45.6449078,-75.9825189,,,0,,,
925056,,Principale Est | Philippe,,45.6470196,-75.9679523,,,0,,,
925067,,Route 105 | Place des Collines,,45.6250391,-75.9347822,,,0,,,
925068,,Route 105 | Place des Collines,,45.6247515,-75.9348446,,,0,,,
925073,,Route 105 | Valle Verde,,45.620667,-75.9268834,,,0,,,
925074,,Route 105 | Du Progrès,,45.61987,-75.9252766,,,0,,,
925083,,Route 105 | Carman,,45.6050466,-75.9058611,,,0,,,
925084,,Route 105 | Carman,,45.6056778,-75.9067495,,,0,,,
925089,,Route 105 | St-Clément,,45.5996345,-75.900645,,,0,,,
925095,,Route 105 | Burnett,,45.568498,-75.853851,,,0,,,
925108,,Route 105 | Epps,,45.5576464,-75.8345647,,,0,,,
925109,,Route 105 | Maple Woods,,45.5571613,-75.8343113,,,0,,,
925120,,Route 105 | Sherrin,,45.5513939,-75.8231496,,,0,,,
925131,,Route 105 | Craiglands,,45.5436804,-75.8204452,,,0,,,
925138,,Route 105 | Williamson,,45.5380106179655,-75.812226208783,,,0,,,
925139,,Route 105 | Musie,,45.5374771,-75.8116752,,,0,,,
925142,,Route 105 | Forest Hill,,45.5364,-75.808851,,,0,,,
925143,,Route 105 | Forest Hill,,45.5363427,-75.8089032,,,0,,,
925145,,Route 105 | Doucette-Landing,,45.5336901,-75.8068682,,,0,,,
925155,,Route 105 | Juniper,,45.5271165,-75.8043371,,,0,,,
925160,,Scott | Belle-Terre,,45.5170897,-75.8087024,,,0,,,
925161,,Scott | Belle-Terre,,45.516876,-75.8089714,,,0,,,
